rest_stop_id,rest_stop_name,direction,display_name,highway_route,address,phone,lat,lon,traffic_2024_daily,is_focus,overall_rating,main_operating_hours,signature_summary,data_quality
RS001,안성휴게소,부산방향,안성휴게소(부산방향),경부고속도로,경기도 안성시 원곡면 경부고속도로 부산방향,031-000-0001,37.0289,127.1488,160000,True,4.4,00:00-24:00,안성 지역명을 활용한 국밥류와 간식 메뉴 중심,demo_seed
RS002,안성휴게소,서울방향,안성휴게소(서울방향),경부고속도로,경기도 안성시 원곡면 경부고속도로 서울방향,031-000-0002,37.0304,127.1460,145000,True,4.2,00:00-24:00,장거리 상행 운전자 대상 식사·간식 메뉴 중심,demo_seed
RS003,서울만남의광장휴게소,부산방향,서울만남의광장휴게소(부산방향),경부고속도로,서울특별시 서초구 경부고속도로 부산방향,02-000-0003,37.4599,127.0412,140000,True,4.3,00:00-24:00,서울 출발 직후 이용하기 좋은 대형 휴게소,demo_seed
RS004,하남드림휴게소,통영방향,하남드림휴게소(통영방향),중부고속도로,경기도 하남시 중부고속도로 통영방향,031-000-0004,37.5418,127.2058,135000,True,4.1,00:00-24:00,수도권 동부 진입·이탈 차량을 위한 복합 휴게 공간,demo_seed
RS005,덕평자연휴게소,강릉방향,덕평자연휴게소(강릉방향),영동고속도로,경기도 이천시 마장면 영동고속도로 강릉방향,031-000-0005,37.2427,127.4119,125000,True,4.6,00:00-24:00,자연형 테마와 푸드코트가 결합된 체류형 휴게소,demo_seed
RS006,망향휴게소,부산방향,망향휴게소(부산방향),경부고속도로,충청남도 천안시 서북구 성거읍 경부고속도로 부산방향,041-000-0006,36.8578,127.1725,118000,True,4.2,00:00-24:00,우동·국밥·간식류 중심의 경부선 대표 휴게소,demo_seed
RS007,천안삼거리휴게소,서울방향,천안삼거리휴게소(서울방향),경부고속도로,충청남도 천안시 동남구 경부고속도로 서울방향,041-000-0007,36.7839,127.1796,112000,True,4.0,00:00-24:00,상행 귀경 차량 대상 식사·카페 메뉴 중심,demo_seed
RS008,행담도휴게소,양방향,행담도휴게소(양방향),서해안고속도로,충청남도 당진시 신평면 서해안고속도로,041-000-0008,36.8938,126.8076,108000,True,4.5,00:00-24:00,서해안 조망과 해산물 콘셉트 메뉴 중심,demo_seed
RS009,서산휴게소,목포방향,서산휴게소(목포방향),서해안고속도로,충청남도 서산시 해미면 서해안고속도로 목포방향,041-000-0009,36.6986,126.5702,98000,True,4.3,06:00-22:00,지역 특산 이미지를 활용한 백반·간식 메뉴 중심,demo_seed
RS010,여주휴게소,강릉방향,여주휴게소(강릉방향),영동고속도로,경기도 여주시 영동고속도로 강릉방향,031-000-0010,37.2455,127.6382,95000,True,4.1,00:00-24:00,영동선 이동객을 위한 한식·분식·카페 메뉴 중심,demo_seed
RS011,횡성휴게소,강릉방향,횡성휴게소(강릉방향),영동고속도로,강원특별자치도 횡성군 안흥면 영동고속도로 강릉방향,033-000-0011,37.4612,128.1445,76000,False,4.2,06:00-22:00,횡성 지역 이미지를 활용한 한우 콘셉트 메뉴 중심,demo_seed
RS012,문경휴게소,창원방향,문경휴게소(창원방향),중부내륙고속도로,경상북도 문경시 중부내륙고속도로 창원방향,054-000-0012,36.6506,128.1485,69000,False,4.0,06:00-22:00,중부내륙선 지역 음식과 간식 중심,demo_seed
RS013,칠곡휴게소,부산방향,칠곡휴게소(부산방향),경부고속도로,경상북도 칠곡군 왜관읍 경부고속도로 부산방향,054-000-0013,36.0022,128.4015,72000,False,4.0,00:00-24:00,경북권 장거리 운전자 대상 한식 메뉴 중심,demo_seed
RS014,진영휴게소,부산방향,진영휴게소(부산방향),남해고속도로,경상남도 김해시 진영읍 남해고속도로 부산방향,055-000-0014,35.2928,128.7344,65000,False,4.1,06:00-22:00,남해선 이동객 대상 분식·국밥·카페 메뉴 중심,demo_seed
